model,item_id,order_mode,n_distractors,query_type,prediction,gold,correct,self_consistent,latency_s
llama3,54,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
llama3,67,chronological,4,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Farid,False,,
llama3,59,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Grace,False,,
llama3,39,chronological,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,office,False,,
llama3,125,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Carla,False,,
llama3,18,chronological,0,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
llama3,2,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,attic,False,,
llama3,11,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,studio,False,,
llama3,51,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Hugo,False,,
llama3,133,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Alice,False,,
mistral,54,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
mistral,67,chronological,4,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Farid,False,,
mistral,59,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Grace,False,,
mistral,39,chronological,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,office,False,,
mistral,125,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Carla,False,,
mistral,18,chronological,0,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
mistral,2,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,attic,False,,
mistral,11,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,studio,False,,
mistral,51,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Hugo,False,,
mistral,133,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Alice,False,,
phi3,54,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
phi3,67,chronological,4,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Farid,False,,
phi3,59,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Grace,False,,
phi3,39,chronological,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,office,False,,
phi3,125,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Carla,False,,
phi3,18,chronological,0,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
phi3,2,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,attic,False,,
phi3,11,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,studio,False,,
phi3,51,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Hugo,False,,
phi3,133,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Alice,False,,
gemma,54,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
gemma,67,chronological,4,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Farid,False,,
gemma,59,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Grace,False,,
gemma,39,chronological,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,office,False,,
gemma,125,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Carla,False,,
gemma,18,chronological,0,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,basement,False,,
gemma,2,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,attic,False,,
gemma,11,chronological,0,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,studio,False,,
gemma,51,chronological,2,state_at_time,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Hugo,False,,
gemma,133,scrambled,2,final_state,ERROR: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,Alice,False,,
