model,order_mode,n_distractors,query_type,accuracy,n
gemma,chronological,0,final_state,0.0,2
gemma,chronological,0,state_at_time,0.0,1
gemma,chronological,2,final_state,0.0,1
gemma,chronological,2,state_at_time,0.0,3
gemma,chronological,4,final_state,0.0,1
gemma,scrambled,2,final_state,0.0,2
llama3,chronological,0,final_state,0.0,2
llama3,chronological,0,state_at_time,0.0,1
llama3,chronological,2,final_state,0.0,1
llama3,chronological,2,state_at_time,0.0,3
llama3,chronological,4,final_state,0.0,1
llama3,scrambled,2,final_state,0.0,2
mistral,chronological,0,final_state,0.0,2
mistral,chronological,0,state_at_time,0.0,1
mistral,chronological,2,final_state,0.0,1
mistral,chronological,2,state_at_time,0.0,3
mistral,chronological,4,final_state,0.0,1
mistral,scrambled,2,final_state,0.0,2
phi3,chronological,0,final_state,0.0,2
phi3,chronological,0,state_at_time,0.0,1
phi3,chronological,2,final_state,0.0,1
phi3,chronological,2,state_at_time,0.0,3
phi3,chronological,4,final_state,0.0,1
phi3,scrambled,2,final_state,0.0,2
